Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Treadmill duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2015-01-22,,21751.865234375,,,,-23.589237213134766,-46.730777740478516,-23.56276512145996,-46.64094924926758,2.288479804992676,18.170068740844727,0.50803542137146,2108,,,,,80372225,1363972,,,,,
2015-01-23,,29711.69140625,,,,-23.58783531188965,-46.74064254760742,-23.550443649291992,-46.64733123779297,2.6464247703552246,23.41167449951172,0.5063595175743103,2075,,,,,77350388,1064473,,,,,
2015-01-24,,46851.03125,,,,-23.617677688598633,-46.77909469604492,-23.52350616455078,-46.64629364013672,6.1559858322143555,20.110000610351562,0.5603570342063904,3482,,,,,72272888,1358003,,,,,
2015-01-25,,48414.16015625,,,,-23.5902042388916,-46.77757263183594,-23.511005401611328,-46.64583969116211,5.78997802734375,25.880046844482422,0.5323532819747925,1707,,,,,73185635,394916,,,,,
2015-01-26,,1117.4368896484375,,,,-23.57076072692871,-46.6478271484375,-23.569421768188477,-46.64517593383789,1.1524919271469116,2.54135799407959,0.5092150568962097,3034,,,,,83492326,1388968,,,,,
2015-01-27,,1055.8740234375,,,,-23.570796966552734,-46.64788818359375,-23.56981658935547,-46.64658737182617,1.3958953619003296,3.5300140380859375,0.5336665511131287,1091,,,,,85113260,346708,,,,,
2015-01-28,,23008.625,,,,-23.588144302368164,-46.73113250732422,-23.555341720581055,-46.645267486572266,4.050045967102051,16.75019073486328,0.6500000357627869,1875,,,,,79571978,976497,,,,,
2015-01-29,,20506.53125,,,,-23.586761474609375,-46.73038864135742,-23.56271743774414,-46.646968841552734,1.9322528839111328,15.210000038146973,0.5126402378082275,1750,,,,,80930060,1125176,,,,,
2015-01-30,,27716.953125,,,,-23.585540771484375,-46.73997497558594,-23.551305770874023,-46.646724700927734,1.8693286180496216,13.280580520629883,0.5261178612709045,1613,,,,,78984289,849399,,,,,
2015-01-31,,52944.8125,,,,-23.58972930908203,-46.77703857421875,-23.510770797729492,-46.64402389526367,4.243536472320557,24.729999542236328,0.5199999809265137,1797,,,,,62897282,567629,,,,,
2015-02-01,,31925.400390625,,,,-23.59116554260254,-46.77341842651367,-23.525217056274414,-46.647159576416016,4.8674750328063965,17.00301170349121,0.5308483242988586,2295,,,,,76409663,235729,63034,,,,
2015-02-02,,20747.9765625,,,,-23.585596084594727,-46.73096466064453,-23.564245223999023,-46.647369384765625,4.071885108947754,16.741195678710938,0.6444377303123474,1649,,,,,80174141,718900,,,,,
2015-02-03,,21272.666015625,,,,-23.579181671142578,-46.737091064453125,-23.56179428100586,-46.647239685058594,1.3024158477783203,16.540435791015625,0.50803542137146,1897,,,,,80420145,750713,,,,,
2015-02-04,,23577.30078125,,,,-23.59102439880371,-46.73119354248047,-23.564207077026367,-46.64460754394531,2.484781265258789,17.05198097229004,0.5385165214538574,1797,,,,,77348404,788864,,,,,
2015-02-05,,21367.580078125,,,,-23.59122657775879,-46.730224609375,-23.554031372070312,-46.64691925048828,4.752933025360107,14.68441390991211,0.5852349996566772,2079,,,,,80192918,1156817,,,,,
2015-02-06,,35871.83984375,,,,-23.590917587280273,-46.76618194580078,-23.518760681152344,-46.6218376159668,4.069765567779541,15.620156288146973,0.5400925874710083,3152,,,,,73777010,1725460,,,,,
2015-02-07,,21065.7265625,,,,-23.58512306213379,-46.69680404663086,-23.517179489135742,-46.623069763183594,5.797707557678223,18.257123947143555,0.5300942659378052,3691,,,,,77174004,2498324,,,,,
2015-02-08,,29945.30078125,,,,-23.57699203491211,-46.771183013916016,-23.52593231201172,-46.64732360839844,2.8672432899475098,24.63020133972168,0.5400000214576721,397,,,,,80909311,50141,,,,,
2015-02-09,,22226.115234375,,,,-23.585535049438477,-46.7396240234375,-23.551626205444336,-46.6460075378418,2.2701048851013184,16.932483673095703,0.5281098484992981,4428,,,,,75704646,2910148,,,,,
2015-02-10,,22420.25,,,,-23.586585998535156,-46.73085021972656,-23.559200286865234,-46.64461135864258,1.4621706008911133,17.110292434692383,0.5024937987327576,3542,,,,,78788945,2057610,,,,,
2015-02-11,,19128.19921875,,,,-23.585830688476562,-46.73097229003906,-23.563840866088867,-46.64727020263672,3.663469076156616,13.453125953674316,0.5,1928,,,,,80263939,965585,,,,,
